hex_id,badQualityPercent,meeting,attendee
85608bd7fffffff,0,0|8,0|8
85288ba7fffffff,0,0|1,0|1
85608bcffffffff,0.03,6|154,6|178
85608b8ffffffff,0,0|4,0|4
85488baffffffff,0.33,1|2,1|3
85608a37fffffff,0.05,1|16,1|19
85488a6ffffffff,0,0|15,0|19
85088a2ffffffff,0,0|12,0|13
85608a27fffffff,0,0|4,0|5
853c8a93fffffff,0,0|5,0|5
85588a8ffffffff,0,0|1,0|1
85288acffffffff,0,0|8,0|9
85288ac7fffffff,0,0|2,0|2
853c8d1bfffffff,0,0|1,0|2
85288d57fffffff,0.03,1|21,1|29
853c8d63fffffff,0,0|5,0|5
85608d17fffffff,0,0|2,0|3
853c8d4bfffffff,0,0|2,0|2
853c8d83fffffff,0,0|3,0|3
853c8d8bfffffff,0,0|1,0|1
85608c4ffffffff,0,0|2,0|2
85a88cc7fffffff,0,0|1,0|1
853c8c33fffffff,0,0|2,0|2
85608cb7fffffff,0,0|3,0|3
85288c77fffffff,0,0|1,0|1
85648c83fffffff,0,0|2,0|2
858c967bfffffff,0,0|4,0|6
85309627fffffff,0,0|1,0|1
85149633fffffff,0,0|1,0|1
850896a7fffffff,0,0|1,0|1
853c96cbfffffff,0,0|4,0|4
8560968ffffffff,0.04,17|300,20|497
85609957fffffff,0,0|6,0|6
85489937fffffff,0,0|1,0|1
85289927fffffff,0,0|4,0|4
85489967fffffff,0,0|1,0|1
8508992ffffffff,0,0|1,0|1
85289907fffffff,0,0|1,0|1
85089967fffffff,0,0|1,0|2
8508996ffffffff,0,0|3,0|3
852899a7fffffff,0,0|2,0|2
854899c7fffffff,0,0|1,0|1
85309827fffffff,0,0|1,0|1
85309807fffffff,0,0|4,0|5
85609837fffffff,0,0|1,0|1
8528984ffffffff,0,0|1,0|1
85489827fffffff,0,0|2,0|2
85309887fffffff,0,0|1,0|1
85609897fffffff,0,0|1,0|1
85609877fffffff,0,0|2,0|8
853098c7fffffff,0,0|1,0|1
852898cffffffff,0,0|2,0|2
85289317fffffff,0,0|1,0|1
853c9313fffffff,0,0|4,0|4
8548934ffffffff,0,0|1,0|1
853c9303fffffff,0.04,12|249,12|280
85489367fffffff,0.5,1|2,1|2
8548936ffffffff,0,0|7,0|8
852c933bfffffff,0,0|3,0|3
852c9333fffffff,0,0|1,0|1
853c93a3fffffff,0.03,1|29,1|32
852893affffffff,0,0|2,0|2
85489377fffffff,0,0|1,0|1
85489387fffffff,0,0|1,0|1
8548938ffffffff,0,0|1,0|1
852c93bbfffffff,0,0|2,0|2
853093c7fffffff,0,0|1,0|1
853c93b3fffffff,0,0|3,0|3
852893cffffffff,0,0|1,0|1
85289227fffffff,0,0|1,0|1
853c9203fffffff,0,0|3,0|4
853c925bfffffff,0.12,3|25,3|25
853c9243fffffff,0,0|2,0|2
853c924bfffffff,0,0|1,0|1
85289237fffffff,0,0|20,0|28
8548922ffffffff,0.01,1|36,1|88
853c923bfffffff,0.04,1|21,1|24
853c92abfffffff,0.2,1|4,1|5
853c927bfffffff,0.05,3|56,3|58
853c9273fffffff,0.33,1|3,1|3
852892b7fffffff,0,0|1,0|1
85489547fffffff,0,0|3,0|5
85489557fffffff,0.01,1|65,1|105
85a89577fffffff,0,0|1,0|1
8548950ffffffff,0,0|7,0|8
850895a7fffffff,0,0|1,0|1
85489577fffffff,0,0|1,0|1
8548958ffffffff,0,0|2,0|2
85489597fffffff,0,0|1,0|1
853c942bfffffff,0.33,1|3,1|3
85289457fffffff,0,0|2,0|5
852894affffffff,0,0|1,0|5
852894d7fffffff,0,0|14,0|20
85549483fffffff,0,0|1,0|3
850894d7fffffff,0,0|2,0|2
852894c7fffffff,0,0|3,0|3
85489e37fffffff,0,1|468,1|621
85609e37fffffff,0,0|13,0|15
85489e0ffffffff,0,0|12,0|16
85489e07fffffff,0,0|3,0|5
85489e27fffffff,0,3|605,3|760
85489e2ffffffff,0,1|385,1|490
85489eb7fffffff,0,0|16,0|17
85289ea7fffffff,0,0|1,0|1
853c9e8bfffffff,0,0|5,0|5
85289eb7fffffff,0,0|1,0|1
85489eaffffffff,0.01,2|121,2|198
85489ea7fffffff,0,0|3,0|3
8544a133fffffff,0,3|458,3|779
8544a13bfffffff,0.01,6|437,6|510
8560a137fffffff,0.17,1|6,1|6
8544a103fffffff,0.01,2|129,2|159
8544a113fffffff,0.02,12|528,12|785
8544a123fffffff,0.01,3|392,3|482
8544a12bfffffff,0,1|307,1|356
8544a1bbfffffff,0,0|123,0|130
8510a1affffffff,0,0|1,0|1
8544a183fffffff,0.02,3|112,3|131
8544a1abfffffff,0,2|338,2|494
853ca1bbfffffff,0,0|1,0|1
8548a047fffffff,0,0|17,0|29
8548a057fffffff,0,0|9,0|10
8560a017fffffff,0.2,1|5,1|5
8560a0d7fffffff,0.25,1|4,1|4
8548a0cffffffff,0,0|16,0|20
8560a0c7fffffff,0.03,1|32,1|36
8560a097fffffff,0,0|3,0|3
85a8a067fffffff,0,0|1,0|1
85609b07fffffff,0,0|2,0|2
85289b47fffffff,0,0|19,0|32
85489bb7fffffff,0,0|1,0|1
85609bd7fffffff,0.17,1|5,1|6
85089bcffffffff,0,0|1,0|1
85089bc7fffffff,0,0|1,0|1
85489b97fffffff,0,0|1,0|1
85489baffffffff,0,0|1,0|1
85489a67fffffff,0,0|3,0|3
85309a6ffffffff,0,0|1,0|2
85489a0ffffffff,0,0|1,0|3
85309a57fffffff,0.08,3|31,3|37
85489a17fffffff,0,0|27,0|35
85489a2ffffffff,0,0|3,0|3
85309aa7fffffff,0.33,1|2,1|3
85489ab7fffffff,0,0|22,0|23
85489a77fffffff,0,0|23,0|25
85489a87fffffff,0,0|8,0|11
85609a77fffffff,0,0|1,0|1
85489a97fffffff,0,0|1,0|1
85489aa7fffffff,0,0|7,0|10
85089d07fffffff,0.09,2|23,3|33
85289d07fffffff,0,0|3,0|3
85289d37fffffff,0,0|1,0|2
85289da7fffffff,0,0|3,0|4
85489dcffffffff,0,0|1,0|1
85309c2ffffffff,0,0|3,0|3
85489c4ffffffff,0.03,2|56,2|71
85489c57fffffff,0.03,1|33,1|35
85489c67fffffff,0,0|1,0|1
85489c07fffffff,0.02,1|61,1|65
85489c0ffffffff,0.01,1|120,1|132
85489c17fffffff,0.01,4|294,5|449
85309c4ffffffff,0,0|1,0|1
85489c27fffffff,0,0|3,0|3
85289c4ffffffff,0,0|1,0|1
853c9c33fffffff,0,0|1,0|1
85489cc7fffffff,0,0|17,0|17
85489ccffffffff,0,0|4,0|4
85489cd7fffffff,0,0|9,0|10
852c9cdbfffffff,0,0|1,0|2
85489c8ffffffff,0.13,1|7,1|8
85609c77fffffff,0.5,1|2,1|2
85589ca7fffffff,0,0|1,0|1
853c9ccbfffffff,0,0|4,0|4
85489c97fffffff,0,0|3,0|3
85489caffffffff,0,0|9,0|10
853c9cbbfffffff,0,0|1,0|1
8568a657fffffff,0.37,12|35,36|97
85aca6bbfffffff,0,0|6,0|9
8564a60bfffffff,0,0|2,0|2
8540a6a7fffffff,0,0|1,0|1
8544a93bfffffff,0,1|154,1|213
8544a933fffffff,0.03,25|615,26|986
8528a917fffffff,0,0|8,0|8
853ca92bfffffff,0,0|1,0|1
8544a94bfffffff,0.06,1|12,1|16
8560a96ffffffff,0.17,1|6,1|6
8544a95bfffffff,0,0|37,0|40
8544a963fffffff,0,0|4,0|5
8528a90ffffffff,0,0|4,0|5
8560a917fffffff,0,0|1,0|1
8544a90bfffffff,0,0|101,0|162
8544a903fffffff,0.01,3|202,3|265
8544a913fffffff,0,0|55,0|69
8544a91bfffffff,0.01,1|72,1|78
8560a907fffffff,0.5,3|6,3|6
8544a923fffffff,0.03,1|28,1|30
8560a90ffffffff,0,0|22,0|22
8544a92bfffffff,0,0|25,0|26
8528a947fffffff,0,0|2,0|2
8544a9b3fffffff,0.06,1|17,1|17
8544a9cbfffffff,0,0|1,0|1
8528a977fffffff,0,0|1,0|1
853ca973fffffff,0,0|27,0|29
8528a987fffffff,0,0|1,0|1
8544a973fffffff,0.01,1|102,1|114
8544a98bfffffff,0,0|10,0|15
8544a983fffffff,0.01,1|60,1|67
8544a993fffffff,0,0|30,0|34
853ca9cbfffffff,0.1,1|9,1|10
8560a977fffffff,0,0|9,0|10
8544a99bfffffff,0,0|10,0|10
8544a9abfffffff,0.01,2|197,2|210
8544a9a3fffffff,0,0|81,0|82
8560a98ffffffff,0,0|2,0|2
8544a83bfffffff,0,0|44,0|49
8508a807fffffff,0,0|2,0|2
8544a80bfffffff,0.02,1|43,1|45
853ca853fffffff,0.05,4|69,4|73
8544a81bfffffff,0.03,1|36,1|39
853ca833fffffff,0.14,1|7,1|7
8544a823fffffff,0,0|27,0|27
8544a82bfffffff,0.01,3|129,3|212
8510a887fffffff,0.07,2|17,3|42
853ca893fffffff,0,0|2,0|2
8520a8affffffff,0,0|1,0|1
8544a8c3fffffff,0,0|68,0|74
8544a8cbfffffff,0.06,1|14,1|16
8544a8dbfffffff,0.01,1|70,1|71
853ca88bfffffff,0,0|1,0|1
8560a897fffffff,0.18,5|27,5|28
8544a893fffffff,0,0|1,0|1
853ca8cbfffffff,0,0|3,0|3
8560a887fffffff,0,0|3,0|4
8560a357fffffff,0,0|3,0|3
8544a36bfffffff,0,0|6,0|7
8548a367fffffff,0,0|2,0|2
8548a30ffffffff,0,0|1,0|1
8508a347fffffff,0,0|2,0|2
85a8a3cffffffff,0,0|2,0|2
8548a3cffffffff,0,0|5,0|9
853ca38bfffffff,0,0|2,0|2
85a8a367fffffff,0,0|2,0|3
853ca22bfffffff,0,0|1,0|1
85a8a2affffffff,0,0|1,0|1
8548a257fffffff,0,0|1,0|1
8560a247fffffff,0,0|1,0|1
8564a213fffffff,0,0|1,0|1
8560a217fffffff,0,0|1,0|1
8548a20ffffffff,0.04,9|178,10|243
8548a207fffffff,0.02,11|394,16|673
85a8a2b7fffffff,0.5,1|2,1|2
853ca243fffffff,0.13,1|8,1|8
8548a217fffffff,0,0|16,0|16
8548a2b7fffffff,0,0|3,0|5
8548a2c7fffffff,0,0|1,0|1
8548a2cffffffff,0,0|2,0|2
8560a2cffffffff,0,0|5,0|5
85a8a207fffffff,0,0|1,0|1
852ca283fffffff,0,0|3,0|3
8548a277fffffff,0,0|1,0|1
8510a2c7fffffff,0,0|6,0|9
8560a2a7fffffff,0.1,3|28,3|30
8548a2affffffff,0,0|14,0|14
8560a557fffffff,0.08,1|13,1|13
8544a53bfffffff,0,0|20,0|20
8560a56ffffffff,0,0|1,0|1
8520a52ffffffff,0.02,1|39,1|48
8560a517fffffff,0.08,4|49,4|50
853ca563fffffff,0.17,1|5,1|6
8564a5dbfffffff,0,0|2,0|2
8548a5b7fffffff,0,0|1,0|1
853ca593fffffff,0,0|2,0|2
85a8a527fffffff,0,0|2,0|2
853ca573fffffff,0,0|2,0|3
8544a5abfffffff,0,0|5,0|5
8564a463fffffff,0,0|1,0|2
8564a443fffffff,0,0|1,0|1
8564a413fffffff,0,0|1,0|1
8528a457fffffff,0,0|1,0|1
8508a457fffffff,0,0|1,0|1
8560a4d7fffffff,0,0|1,0|1
8564a4b3fffffff,0.09,16|132,17|188
8564a4bbfffffff,0.02,1|39,1|54
8510a4affffffff,0,0|1,0|1
8560a4cffffffff,0,0|1,0|1
8564a4abfffffff,0,0|2,0|2
8564a4a3fffffff,0,0|1,0|1
8508a4d7fffffff,0,0|1,0|1
8564a483fffffff,0,0|2,0|2
8508ae47fffffff,0,0|2,0|2
8544aebbfffffff,0,3|354,3|620
8544aeb3fffffff,0,0|11,0|11
8544ae83fffffff,0.01,1|62,1|78
8544ae93fffffff,0.02,4|210,4|264
8544aea3fffffff,0,0|18,0|19
8544aeabfffffff,0,0|4,0|5
8560b16ffffffff,0,0|1,0|2
8508b12ffffffff,0,0|2,0|2
8540b10ffffffff,0,0|1,0|1
8560b127fffffff,0,0|1,0|1
8508b177fffffff,0,0|2,0|2
8564b1b3fffffff,0,0|1,0|1
853cb173fffffff,0,0|1,0|1
8560b197fffffff,0,0|7,0|7
8560b1a7fffffff,0,0|1,0|1
8508b1c7fffffff,0,0|1,0|1
8508b1cffffffff,0,0|3,0|3
853cb1cbfffffff,0,0|19,0|19
8548b1affffffff,0,0|20,0|26
8560b057fffffff,0,0|1,0|1
8548b04ffffffff,0,0|4,0|5
8560b047fffffff,0.08,1|12,1|13
8560b02ffffffff,0,0|2,0|2
8548b027fffffff,0,0|21,0|32
8560b007fffffff,0,0|4,0|4
8508b087fffffff,0,0|1,0|1
8508b0affffffff,0,0|1,0|1
8560b097fffffff,0,0|26,0|28
8560b0affffffff,0,0|6,0|6
8560b077fffffff,0.11,1|9,1|9
8508b0d7fffffff,0,0|3,0|3
8560ab37fffffff,0,0|1,0|1
854cabc3fffffff,0,0|3,0|3
853cab9bfffffff,0,0|1,0|1
853cab8bfffffff,0,0|1,0|1
858cab33fffffff,0,0|1,0|1
853cabc3fffffff,0.04,1|24,1|25
858cab63fffffff,0.33,1|2,1|3
8560aa27fffffff,0,0|7,0|7
85a8aa27fffffff,0,0|2,0|2
8544ad0bfffffff,0,0|9,0|9
8544ad23fffffff,0,0|3,0|3
8544ad2bfffffff,0,0|2,0|2
8544ad73fffffff,0,0|7,0|7
8544ad93fffffff,0,0|5,0|5
853cadcbfffffff,0.2,1|5,1|5
85a8ac97fffffff,0,0|1,0|1
8544ac4bfffffff,0,0|87,0|114
8544ac6bfffffff,0,0|1,0|1
8510ac17fffffff,0,0|1,0|1
853cac63fffffff,0,0|1,0|1
8544ac0bfffffff,0,0|1,0|1
8508ac57fffffff,0,0|32,0|35
8510ac8ffffffff,0,0|7,0|9
8544ac73fffffff,0,0|1,0|1
85a8ac6ffffffff,0.5,1|2,1|2
853cacb3fffffff,0,0|7,0|8
8560ac87fffffff,0,0|1,0|1
8560b637fffffff,0.13,2|16,2|16
8528b657fffffff,0,0|9,0|9
8508b667fffffff,0,0|2,0|3
8508b66ffffffff,0,0|1,0|1
8508b677fffffff,0.17,1|6,1|6
853cb6abfffffff,0,0|1,0|2
8508b68ffffffff,0,0|1,0|3
8508b6a7fffffff,0,0|1,0|1
8528b6d7fffffff,0,0|1,0|1
8508b6b7fffffff,0,0|1,0|1
8508b6d7fffffff,0,0|1,0|1
8528b6c7fffffff,0,0|2,0|7
8528b6cffffffff,0,0|2,0|3
8548b317fffffff,0,0|3,0|3
8508b357fffffff,0,0|1,0|1
8510b387fffffff,0.25,3|12,3|12
8548b3c7fffffff,0,0|19,0|20
8548b3cffffffff,0,0|1,0|1
8558b3d7fffffff,0.1,2|5,2|20
8548b387fffffff,0.02,1|51,2|84
8560b3a7fffffff,0,0|2,0|2
8548b397fffffff,0.3,1|7,3|10
8544b393fffffff,0,0|1,0|1
8548b237fffffff,0,0|3,0|3
8560b26ffffffff,0,0|4,0|5
8528b267fffffff,0,0|1,0|1
8548b2b7fffffff,0,0|3,0|12
8508b287fffffff,0,0|1,0|1
8560b297fffffff,0,0|16,0|17
8548b2a7fffffff,0,0|16,0|31
8560b567fffffff,0,0|5,0|5
8560b54ffffffff,0.5,2|4,2|4
8544b56bfffffff,0,0|1,0|1
8508b52ffffffff,0,0|1,0|1
8560b52ffffffff,0.05,251|3671,275|5660
8560b527fffffff,0.04,2|46,2|47
8560b5c7fffffff,0.08,1|13,1|13
8564b5c3fffffff,0,0|1,0|1
8560b577fffffff,0.15,2|12,2|13
8560b58ffffffff,0.18,2|11,2|11
8560b46ffffffff,0.25,1|4,1|4
8508b467fffffff,0,0|1,0|1
8560b4d7fffffff,0,0|6,0|6
8560b4a7fffffff,0,0|4,0|4
8564b48bfffffff,0,0|7,0|16
8564b483fffffff,0,0|3,0|6
8544c133fffffff,0.01,15|1053,15|1308
8544c13bfffffff,0.01,5|542,5|672
8544c14bfffffff,0,0|4,0|4
8544c163fffffff,0.02,2|91,2|98
8544c16bfffffff,0,0|30,0|31
8530c16ffffffff,0,0|2,0|2
8544c103fffffff,0.01,4|213,4|350
8544c10bfffffff,0.02,2|69,2|91
8544c113fffffff,0,0|118,0|139
8544c11bfffffff,0,0|28,0|28
8530c147fffffff,0,0|2,0|4
8544c12bfffffff,0.03,19|478,21|673
8544c123fffffff,0.01,14|1370,15|1836
8530c137fffffff,0,0|1,0|2
8544c1bbfffffff,0.01,3|204,3|348
8544c1b3fffffff,0,0|66,0|72
8544c1cbfffffff,0,0|1,0|1
8544c1d3fffffff,0,0|7,0|7
8530c177fffffff,0,0|1,0|1
8544c173fffffff,0.01,1|116,1|131
8544c17bfffffff,0,0|13,0|13
8544c18bfffffff,0,0|11,0|12
8544c19bfffffff,0,0|19,0|24
8544c193fffffff,0,0|1,0|1
8544c1a3fffffff,0.01,1|125,1|145
8544c1abfffffff,0.01,38|2042,46|3454
8544c03bfffffff,0,0|25,0|26
8544c05bfffffff,0,0|1,0|1
8530c067fffffff,0,0|4,0|4
8544c003fffffff,0,0|4,0|5
8530c04ffffffff,0,0|1,0|1
85a8c0cffffffff,0.09,8|64,8|92
854cc0b3fffffff,0.33,1|3,1|3
8544c0bbfffffff,0,0|9,0|11
8544c0b3fffffff,0,0|51,0|57
8544c0c3fffffff,0,0|3,0|3
8510c077fffffff,0,0|2,0|2
8544c0cbfffffff,0.33,1|2,1|3
8544c0dbfffffff,0,0|9,0|9
8544c09bfffffff,0,0|10,0|10
8544c0a3fffffff,0,0|130,0|182
8544c0abfffffff,0,0|9,0|11
8548c0affffffff,0,0|4,0|4
85a8c04ffffffff,0,0|2,0|2
854cc64bfffffff,0,0|1,0|1
8544c653fffffff,0,0|2,0|3
853cc60bfffffff,0.5,1|2,1|2
8544c663fffffff,0,0|1,0|1
8548c62ffffffff,0,0|5,0|5
8530c6affffffff,0,0|2,0|2
8548c6c7fffffff,0,0|61,0|73
8548c6d7fffffff,0.28,8|40,31|111
85a8c667fffffff,0,0|1,0|2
853cc6bbfffffff,0.25,1|2,1|4
8544c93bfffffff,0,0|1,0|1
8544c94bfffffff,0,0|3,0|3
8544c95bfffffff,0,0|4,0|5
8544c96bfffffff,0,0|2,0|2
8544c903fffffff,0.03,1|29,1|30
8544c91bfffffff,0,0|13,0|14
8544c913fffffff,0,0|4,0|6
8544c9b3fffffff,0,0|3,0|3
8544c9d3fffffff,0,0|2,0|2
8544c973fffffff,0,0|3,0|3
8544c983fffffff,0,0|3,0|3
8548c997fffffff,0,0|8,0|9
8544c9abfffffff,0,0|5,0|5
8544c83bfffffff,0,0|1,0|1
8544c86bfffffff,0.01,1|82,1|86
8544c803fffffff,0,0|15,0|28
8544c80bfffffff,0,0|1,0|1
8544c813fffffff,0,0|3,0|3
8544c81bfffffff,0,0|6,0|6
8544c82bfffffff,0,0|2,0|2
8548c8b7fffffff,0,0|3,0|5
8544c8bbfffffff,0,0|3,0|3
8544c8cbfffffff,0,0|1,0|1
8544c87bfffffff,0,0|9,0|10
8544c883fffffff,0,0|23,0|23
8544c88bfffffff,0,0|26,0|27
8548c88ffffffff,0,0|5,0|9
85bcc85bfffffff,0,0|1,0|1
8544c893fffffff,0,0|4,0|5
8544c8abfffffff,0.2,1|5,1|5
8544c33bfffffff,0.67,2|3,2|3
85bcc39bfffffff,0,0|2,0|2
85bcc393fffffff,0,0|1,0|1
8544c343fffffff,0,0|2,0|2
8544c34bfffffff,0,0|1,0|1
85bcc3cbfffffff,0.08,1|12,1|12
8544c323fffffff,0,0|1,0|1
8544c32bfffffff,0,0|6,0|7
8544c3b3fffffff,0,0|3,0|3
85bcc31bfffffff,0,0|1,0|1
8544c3dbfffffff,0,0|1,0|1
85bcc30bfffffff,0.33,1|3,1|3
8544c37bfffffff,0,0|1,0|1
85bcc353fffffff,0.25,1|4,1|4
8544c383fffffff,0,0|10,0|10
85bcc35bfffffff,0.14,1|7,1|7
85bcc34bfffffff,0.14,4|23,4|28
85bcc343fffffff,0,0|3,0|5
8544c3a3fffffff,0.01,1|57,1|83
8544c23bfffffff,0,0|18,0|18
8510c20ffffffff,0.5,1|2,1|2
8544c233fffffff,0,0|4,0|6
853cc21bfffffff,0.2,3|4,3|15
853cc213fffffff,0.2,1|3,2|10
8544c26bfffffff,0,0|21,0|27
8544c263fffffff,0,0|2,0|2
8544c203fffffff,0,0|1,0|1
8528c247fffffff,0,0|1,0|1
8544c223fffffff,0,0|49,0|57
8544c22bfffffff,0.01,2|154,2|219
8544c2bbfffffff,0,0|1,0|1
853cc293fffffff,0,0|1,0|1
8544c2d3fffffff,0,0|2,0|2
8544c28bfffffff,0,0|1,0|1
8544c293fffffff,0,0|2,0|2
85a8c24ffffffff,0,0|1,0|1
854cc53bfffffff,0,0|14,0|15
8544c533fffffff,0,0|5,0|5
854cc54bfffffff,0,0|1,0|1
8544c543fffffff,0,0|10,0|10
8544c54bfffffff,0,0|16,0|17
854cc553fffffff,0,0|7,0|7
854cc55bfffffff,0,0|1,0|1
8544c55bfffffff,0,0|19,0|21
854cc563fffffff,0,0|1,0|1
854cc56bfffffff,0,0|1,0|1
8544c56bfffffff,0.12,2|16,2|17
8530c56ffffffff,0,0|2,0|3
8544c51bfffffff,0,0|1,0|1
8544c52bfffffff,0,0|2,0|2
8544c5b3fffffff,0.01,2|128,2|224
854cc5b3fffffff,0,0|10,0|11
8544c5bbfffffff,0,0|1,0|1
8544c5cbfffffff,0,0|3,0|3
8530c577fffffff,0,0|3,0|3
854cc57bfffffff,0,0|1,0|1
854cc58bfffffff,0,0|6,0|6
8544c5a3fffffff,0,0|9,0|11
8544c433fffffff,0,0|1,0|1
8530c417fffffff,0,0|2,0|2
8544c463fffffff,0,0|1,0|1
853cc433fffffff,0.5,1|2,1|2
8544c42bfffffff,0,0|6,0|6
8544c4dbfffffff,0,0|1,0|2
853cc4c3fffffff,0,0|1,0|1
8544c4abfffffff,0,0|7,0|8
8544ce33fffffff,0,0|6,0|6
8544ce3bfffffff,0,0|2,0|2
8544ce4bfffffff,0,0|1,0|1
8544ce43fffffff,0,0|21,0|21
8544ce5bfffffff,0,0|4,0|4
8544ce13fffffff,0,0|18,0|18
8544ce2bfffffff,0,0|6,0|6
8544ce23fffffff,0,0|3,0|3
8544ced3fffffff,0.02,1|37,1|47
8544cedbfffffff,0,0|4,0|4
8544ce7bfffffff,0,0|1,0|1
8544ce8bfffffff,0,0|24,0|26
8544ce9bfffffff,0.01,1|69,1|72
8544ce93fffffff,0,1|771,1|920
8544d13bfffffff,0,0|1,0|1
8544d15bfffffff,0,0|1,0|1
8528d107fffffff,0,0|2,0|2
8528d137fffffff,0,0|1,0|1
8544d113fffffff,0,0|1,0|3
8528d147fffffff,0,0|5,0|5
8544d123fffffff,0,0|10,0|10
8544d1b3fffffff,0,0|3,0|3
8528d1affffffff,0,0|14,0|14
8528d1a7fffffff,0,0|1,0|1
8544d1dbfffffff,0,0|7,0|10
8528d1d7fffffff,0,0|2,0|2
8544d17bfffffff,0,0|1,0|1
8544d19bfffffff,0,0|1,0|1
8544d1a3fffffff,0,0|3,0|16
8528d1c7fffffff,0,0|13,0|13
8528d1cffffffff,0,0|4,0|4
8548d037fffffff,0,0|1,0|1
8544d03bfffffff,0,0|1,0|1
8528d027fffffff,0.07,1|15,1|15
8544d063fffffff,0.01,1|110,1|132
8544d06bfffffff,0.01,1|93,1|98
8544d02bfffffff,0.01,3|225,3|294
8544d0b3fffffff,0.04,1|22,1|26
8528d097fffffff,0,0|13,0|15
8528d0affffffff,0,0|28,0|28
8528d0a7fffffff,0,0|10,0|10
8528d087fffffff,0,0|8,0|8
8528d08ffffffff,0,0|5,0|5
8544d073fffffff,0.02,2|106,2|115
8544d07bfffffff,0,0|13,0|13
854cd093fffffff,0,0|3,0|3
8528d0b7fffffff,0.02,6|323,8|475
8544cb3bfffffff,0,0|2,0|2
8544cb4bfffffff,0,0|1,0|1
8544cb5bfffffff,0,0|2,0|2
8544cb6bfffffff,0,0|4,0|4
8544cb1bfffffff,0,0|6,0|6
8544cb13fffffff,0,0|1,0|1
8548cb2ffffffff,0.33,1|3,1|3
8544cbb3fffffff,0,0|5,0|5
8544cbcbfffffff,0,0|11,0|11
8544cbc3fffffff,0,0|8,0|8
8544cbdbfffffff,0.01,1|61,1|70
8544cbd3fffffff,0.03,2|54,2|63
8544cb73fffffff,0,0|1,0|1
8544cb9bfffffff,0,0|8,0|8
8544ca33fffffff,0,0|6,0|6
8544ca3bfffffff,0,0|6,0|6
8544ca53fffffff,0,0|12,0|13
8544ca5bfffffff,0,0|8,0|8
8548ca67fffffff,0,0|1,0|1
8544ca63fffffff,0,0|12,0|31
8544ca03fffffff,0,0|1,0|1
8544ca2bfffffff,0,0|5,0|5
